,Ethnicity,Name
2108,HISPANIC,romy
1980,AFRICAN,oumou
1005,HISPANIC,hanna
2056,HISPANIC,reagan
1846,HISPANIC,moishe
1037,HISPANIC,heidy
2499,HISPANIC,yona
1710,HISPANIC,mario
1909,HISPANIC,nechama
1419,ASIAN,kazi
2137,HISPANIC,sabrina
871,HISPANIC,eyad
1320,ASIAN,joyce
1683,AFRICAN,mamadou
2127,HISPANIC,russell
989,HISPANIC,hadassa
1993,HISPANIC,parker
726,ASIAN,eason
1775,HISPANIC,melissa
17,ASIAN,abdullah
1115,HISPANIC,ivanna
528,HISPANIC,carmen
551,HISPANIC,celia
2180,HISPANIC,sari
539,HISPANIC,cassidy
924,HISPANIC,gabriel
260,ASIAN,anika
2352,HISPANIC,thea
904,HISPANIC,fishel
335,HISPANIC,aryeh
774,HISPANIC,eliot
1504,HISPANIC,laura
108,HISPANIC,alessandra
450,HISPANIC,brandon
2021,HISPANIC,pinchas
2024,HISPANIC,polina
721,AFRICAN,dwayne
296,ASIAN,arham
1319,ASIAN,joy
641,AFRICAN,dakota
1129,ASIAN,jacky
1910,AFRICAN,nehemiah
575,HISPANIC,chavy
1054,AFRICAN,hope
1586,HISPANIC,liora
403,HISPANIC,aziza
910,HISPANIC,francesco
1212,AFRICAN,jayda
2143,ASIAN,saifan
1546,HISPANIC,leonidas
1798,HISPANIC,michaela
1180,ASIAN,jannat
1040,HISPANIC,helena
608,HISPANIC,claudia
838,ASIAN,eshaal
1906,HISPANIC,nathaniel
2505,HISPANIC,youssef
1942,HISPANIC,noel
274,HISPANIC,annabelle
2124,HISPANIC,ruby
1553,HISPANIC,levi
1263,HISPANIC,jesus
224,HISPANIC,anais
928,HISPANIC,gabriella
438,HISPANIC,bodhi
1302,HISPANIC,josef
2090,HISPANIC,rivky
2046,HISPANIC,raizy
2008,HISPANIC,perla
1685,ASIAN,manha
1070,HISPANIC,iker
734,ASIAN,edison
10,ASIAN,abby
220,HISPANIC,anabella
1096,AFRICAN,isaiah
1989,HISPANIC,paola
556,AFRICAN,chad
55,HISPANIC,adrianna
66,HISPANIC,ahuva
1611,HISPANIC,luca
955,HISPANIC,gianna
2261,HISPANIC,siena
1089,HISPANIC,isabela
2039,HISPANIC,quinn
824,HISPANIC,enrique
737,HISPANIC,eduardo
1507,HISPANIC,lauren
86,HISPANIC,alaina
1808,HISPANIC,mikayla
2220,HISPANIC,shalom
2494,HISPANIC,yitty
2551,ASIAN,zoya
41,HISPANIC,adelyn
1749,HISPANIC,maximo
1471,AFRICAN,kori
2278,AFRICAN,skylar
900,HISPANIC,finley
408,HISPANIC,basya
629,HISPANIC,cristofer
217,HISPANIC,amy
33,HISPANIC,adam
2520,ASIAN,zain
1709,HISPANIC,marina
159,HISPANIC,allyson
2217,HISPANIC,shaina
976,HISPANIC,graham
2511,AFRICAN,zachariah
404,HISPANIC,baila
2242,AFRICAN,shiloh
2272,AFRICAN,sky
1110,HISPANIC,israel
1699,HISPANIC,maria
1582,ASIAN,linda
107,HISPANIC,aleksandra
1882,AFRICAN,nana
725,HISPANIC,ean
2214,HISPANIC,sergio
1698,HISPANIC,margot
1723,HISPANIC,mary
1172,AFRICAN,janae
766,HISPANIC,elias
1573,HISPANIC,lilliana
1880,AFRICAN,nala
841,HISPANIC,esme
1805,ASIAN,mikael
1744,HISPANIC,max
1338,HISPANIC,julien
2224,AFRICAN,shaniya
199,HISPANIC,amelia
651,HISPANIC,dana
909,HISPANIC,francesca
1487,AFRICAN,kymani
1116,ASIAN,ivy
76,HISPANIC,aimee
815,HISPANIC,emily
793,HISPANIC,elliott
2311,HISPANIC,steven
223,HISPANIC,anahi
2266,HISPANIC,simcha
1106,HISPANIC,isla
869,HISPANIC,everly
