,Name,Class
10983,Egides,Russian
15505,Shahovskoi,Russian
18376,Sabbag,Arabic
4502,Pegg,English
12554,Jalovoi,Russian
1677,Zoucha,Czech
15187,Renard,Russian
13808,Marusev,Russian
4129,Mcneill,English
9564,Bahtiev,Russian
2252,Bugg,English
14248,Mravinsky,Russian
8548,Abrashin,Russian
19012,Boulos,Arabic
17684,Zhuravel,Russian
9045,Atamanov,Russian
798,Giannino,Italian
13246,Lapenko,Russian
17776,Zukerman,Russian
8901,Andreichenko,Russian
4689,Redin,English
18452,Abadi,Arabic
5089,Thoms,English
137,Lamar,French
19999,Said,Arabic
10650,Didichenko,Russian
8829,Ajiganov,Russian
923,Nicchi,Italian
7667,Kamon,Japanese
16257,Tzapaev,Russian
17814,Daal,Dutch
14592,Otmahov,Russian
12098,Hayutin,Russian
12692,Jelehovsky,Russian
4545,Pickett,English
8556,Abrosimov,Russian
12120,Hersonsky,Russian
9032,At'Kov,Russian
11114,Entov,Russian
1068,Selmone,Italian
4966,Stack,English
1878,Vourlis,Greek
18166,Quraishi,Arabic
15714,Taliev,Russian
13153,Kalinov,Russian
5189,Treseder,English
13072,Kachenovsky,Russian
9826,Balagul,Russian
15200,Ribopier,Russian
17411,Zharsky,Russian
19533,Deeb,Arabic
6954,Cathan,Irish
17861,Kanne,Dutch
10232,Biryulin,Russian
12514,Jakovkin,Russian
11187,Faddeev,Russian
16001,Tsalyhin,Russian
11058,Elez,Russian
8916,Andropov,Russian
204,Paul,French
6842,Tangeman,German
2349,Christy,English
4369,Oldland,English
12429,Jachnik,Russian
14007,Minniahmetov,Russian
13445,Limoshin,Russian
8458,Abdurahmanoff,Russian
19445,Sleiman,Arabic
1321,Jedlicka,Czech
11109,Enns,Russian
6968,Colman,Irish
6468,Hintzen,German
14132,Mokry,Russian
3523,Jagger,English
19102,Hakimi,Arabic
10885,Dubrowsky,Russian
5826,Vela,Spanish
15971,Tropko,Russian
16651,Vavulin,Russian
12441,Jadrihinsky,Russian
4275,Nickolls,English
3082,Gander,English
18453,Antoun,Arabic
17931,Nifterick,Dutch
15447,Senyakovich,Russian
14604,Ottyasov,Russian
14734,Pechersky,Russian
13199,Katsan,Russian
4957,Spence,English
3663,Kemp,English
13495,Lokh,Russian
12570,Jamschikov,Russian
8400,Abashev,Russian
8469,Abels,Russian
3497,Ironmonger,English
6683,Peter,German
7385,Akaike,Japanese
18916,Antoun,Arabic
17974,Reinders,Dutch
19022,Samaha,Arabic
11170,Evert,Russian
4585,Pooke,English
9848,Balakin,Russian
19025,Asker,Arabic
12433,Jadanovsky,Russian
18277,Moghadam,Arabic
10280,Chazov,Russian
16063,Tsigler,Russian
2601,Dorman,English
19151,Touma,Arabic
19878,Ganem,Arabic
7119,Pharlain,Irish
11398,Gefter,Russian
14994,Poshevnev,Russian
4851,Sanders,English
4884,Sharma,English
12803,Jikharevitch,Russian
11443,Gladston,Russian
14259,Muijel,Russian
13605,Lysenko,Russian
8071,Saromi,Japanese
6291,Borchard,German
10438,Chukhrov,Russian
14785,Piffer,Russian
13297,Leiman,Russian
7199,Han,Vietnamese
4790,Rooney,English
538,Aleppo,Italian
12422,Jaburov,Russian
6715,Rosenfeld,German
5447,Wilkshire,English
19965,Assaf,Arabic
14612,Paduchev,Russian
14469,Novokhatsky,Russian
15608,Shamakin,Russian
9900,Bashkov,Russian
1447,Navratil,Czech
14796,Piruev,Russian
10513,Dardyk,Russian
8970,Antonchenko,Russian
16064,Tsigra,Russian
16927,Vyaltsev,Russian
9643,Baisak,Russian
1285,Havlice,Czech
14403,Nazarko,Russian
6522,Kaufer,German
1588,Soukup,Czech
825,Lamon,Italian
9734,Bakhtiarov,Russian
11487,Gluhih,Russian
3095,Garratt,English
5357,Warrington,English
979,Pisani,Italian
4428,Oxenham,English
8503,Ablyazov,Russian
8754,Agashin,Russian
5226,Tuthill,English
13825,Matasoff,Russian
14860,Pochtennyh,Russian
7141,Ruaidh,Irish
2677,Dykes,English
3550,Jenas,English
8922,Andruhov,Russian
5504,Wraight,English
7791,Kuramoto,Japanese
3507,Isherwod,English
18622,Zogby,Arabic
3701,Keward,English
6127,Chong,Korean
7406,Arihyoshi,Japanese
17288,Yuzhanov,Russian
16687,Velidov,Russian
129,Herriot,French
1155,Zappa,Italian
18203,Toma,Arabic
19080,Shamoon,Arabic
10881,Dubrovin,Russian
6876,Wagner,German
5704,Martell,Spanish
766,Fausti,Italian
12594,Janitsky,Russian
3086,Garbett,English
3493,Inson,English
18867,Kalb,Arabic
6720,Rothschild,German
15249,Rokhlin,Russian
16966,Vypirailenko,Russian
13345,Lezhepekov,Russian
3605,Jupp,English
13542,Lukhvich,Russian
1125,Uggeri,Italian
14695,Pavlishin,Russian
1840,Protopsaltis,Greek
10955,Dzhumaev,Russian
8819,Agursky,Russian
3908,Leyshon,English
17501,Zhernov,Russian
9651,Baitalsky,Russian
7436,Date,Japanese
14319,Murychev,Russian
11618,Grammatin,Russian
17420,Zhbanov,Russian
9723,Bakholdin,Russian
15544,Shakhkalamyan,Russian
11938,Hamitov,Russian
5933,Lim,Chinese
6337,Dunkle,German
7778,Kubo,Japanese
12173,Hlgatyan,Russian
10570,Defabr,Russian
7713,Kawazu,Japanese
401,Kennedy,Scottish
11541,Golovanov,Russian
14742,Peftiev,Russian
19367,Arian,Arabic
5228,Tutton,English
6415,Gotti,German
2277,Butterworth,English
6205,You,Korean
4430,Oxtoby,English
6050,Zong,Chinese
16403,Uzhentsev,Russian
19891,Awad,Arabic
18510,Sayegh,Arabic
15670,Shenk,Russian
844,Maestri,Italian
7374,Zielinski,Polish
10567,Davydkin,Russian
8378,Abakshin,Russian
12479,Jahnyuk,Russian
4011,Mace,English
6530,Kerwar,German
5833,Villalobos,Spanish
15392,Saigutin,Russian
19824,Bazzi,Arabic
13963,Mikhersky,Russian
2325,Chaplin,English
7307,Miazga,Polish
11250,Fisichev,Russian
15517,Shaidenko,Russian
9870,Balasoglo,Russian
2656,Dunkley,English
1774,Kokkali,Greek
7164,Whelan,Irish
16662,Vedenkov,Russian
8168,Sunada,Japanese
11872,Haitov,Russian
13348,Lezhnin,Russian
8171,Tabuchi,Japanese
16971,Vyrubov,Russian
11573,Gorchinsky,Russian
13451,Lishtva,Russian
1843,Rorris,Greek
9772,Baklashov,Russian
9845,Balakhovsky,Russian
10986,Egipko,Russian
8514,Abovyan,Russian
4403,Osborne,English
7710,Kawatake,Japanese
3161,Glennie,English
15631,Shamshev,Russian
19818,Shalhoub,Arabic
12003,Haptakhaev,Russian
5414,Whiteley,English
2695,Easen,English
6630,Martz,German
10581,Demichev,Russian
17321,Zavatsky,Russian
3862,Leadley,English
6215,Achterberg,German
14599,Ots,Russian
15139,Rakhletsky,Russian
15736,Talyantsev,Russian
7116,O'Toole,Irish
5321,Wakefield,English
2213,Brandrick,English
1133,Valerio,Italian
9353,Babakulov,Russian
8083,Sayuki,Japanese
2575,Docherty,English
15913,Tokarev,Russian
41,Bureau,French
16625,Vasserman,Russian
3462,Hutchins,English
1584,Smith,Czech
11405,Gerasimovich,Russian
8161,Sugihara,Japanese
247,Savatier,French
9118,Avduloff,Russian
1252,Fremut,Czech
12998,Jurin,Russian
7213,Phi,Vietnamese
13223,Katzepov,Russian
7824,Mashita,Japanese
15899,Todorsky,Russian
8420,Abdrakhimoff,Russian
6229,Andres,German
2512,Davis,English
13602,Lysak,Russian
8349,Yasukawa,Japanese
13595,Lykosov,Russian
14064,Mochanov,Russian
10027,Bekhtenev,Russian
8314,Watnabe,Japanese
10091,Beloglazov,Russian
6217,Ackermann,German
17329,Zavorin,Russian
19950,Khouri,Arabic
6915,Winter,German
10985,Egin,Russian
19816,Hadad,Arabic
3661,Kelsey,English
19697,Handal,Arabic
10561,Davletyarov,Russian
1913,Aherne,English
7120,Power,Irish
2143,Bennett,English
10546,Davidenko,Russian
7019,Keefe,Irish
9890,Baram,Russian
16832,Vinding,Russian
6549,Koenig,German
6661,Nagel,German
13109,Kalautov,Russian
19284,Mifsud,Arabic
371,Walker,Scottish
5422,Whittingham,English
3408,Holland,English
12150,Hitarov,Russian
4629,Putt,English
16219,Turta,Russian
1063,Scotti,Italian
712,Corvi,Italian
16207,Turmanov,Russian
9427,Bachinsky,Russian
4934,Smart,English
16639,Vasyutinsky,Russian
1181,Bleskan,Czech
10654,Diduh,Russian
3228,Greensmith,English
1334,Kanak,Czech
8075,Sasaki,Japanese
1489,Perina,Czech
17986,Roijakkers,Dutch
5273,Varndell,English
11040,Elachich,Russian
1082,Soriano,Italian
10248,Chadrantsev,Russian
11810,Guznischev,Russian
16660,Vedenisov,Russian
10765,Dobronravov,Russian
12069,Haslavsky,Russian
7945,Narahashi,Japanese
3212,Granger,English
9856,Balanchivadze,Russian
9681,Bakadorov,Russian
5107,Tickner,English
3753,Kinsella,English
10611,Dermelev,Russian
11448,Glagolev,Russian
2214,Bray,English
4062,Matthams,English
3434,Howard,English
1844,Rousses,Greek
12385,Iskortsev,Russian
6347,Engel,German
3090,Gardiner,English
7329,Salomon,Polish
16555,Valtchikovsky,Russian
11008,Eifman,Russian
3604,Jukes,English
17802,Asch,Dutch
3929,Litchfield,English
3827,Langley,English
13874,Mihailitsyn,Russian
7886,Mori,Japanese
7289,Kosmatka,Polish
9954,Bavilin,Russian
995,Quaranta,Italian
550,Allegri,Italian
11742,Gudovsky,Russian
14736,Pechinkin,Russian
7417,Ashia,Japanese
1474,Pachr,Czech
8213,Tamazaki,Japanese
18945,Saliba,Arabic
7670,Kanagaki,Japanese
7714,Kaza,Japanese
9132,Averbukh,Russian
15663,Shenderovich,Russian
19037,Seif,Arabic
17121,Yakutkin,Russian
6767,Schultheis,German
16414,V'Yuhin,Russian
17364,Zhaba,Russian
2428,Court,English
20,Bernard,French
6756,Schroter,German
15676,Shentel,Russian
19599,Arian,Arabic
11943,Hamukov,Russian
9925,Batsanov,Russian
19666,Said,Arabic
8323,Yamahata,Japanese
8431,Abdulazizoff,Russian
4920,Sinha,English
12632,Jarnikov,Russian
176,Masson,French
7875,Miyazaki,Japanese
19956,Shamoon,Arabic
5351,Wareing,English
841,Longo,Italian
7563,Hosokaya,Japanese
6990,Donndubhan,Irish
3081,Gammon,English
7173,Vu,Vietnamese
3649,Keight,English
8667,Adoff,Russian
3123,Gibbons,English
5869,Chieu,Chinese
9806,Bakuridze,Russian
